pfas,name,measure,mean,sd,sig,pvalue
23,"3,3-Bis(trifluoromethyl)-2-propenoic acid","bcf, 0.5 uM",1.8,0.98,,
24,N-Ethylperfluorooctanesulfonamide,"bcf, 0.5 uM",28,7.8,,
25,2-Vinylperfluorobutane,"bcf, 0.5 uM",,,,
26,Potassium perfluorohexanesulfonate,"bcf, 0.5 uM",55,6.3,,
27,Flurothyl,"bcf, 0.5 uM",,,,
28,Perfluoro(4-methoxybutanoic) acid,"bcf, 0.5 uM",5.2,3.2,,
29,"1,1,1,3,3-Pentafluorobutane","bcf, 0.5 uM",,,,
30,"3-(Perfluoro-2-butyl)propane-1,2-diol","bcf, 0.5 uM",,,,
31,Heptafluorobutyramide,"bcf, 0.5 uM",,,,
32,"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol","bcf, 0.5 uM",5.9,0.08,,
33,2-Aminohexafluoropropan-2-ol,"bcf, 0.5 uM",,,,
34,"Perfluoro-3,6,9-trioxatridecanoic acid","bcf, 0.5 uM",585,174,,
35,Hexafluoroamylene glycol,"bcf, 0.5 uM",1.6,0.46,,
36,Methyl perfluorohexanoate,"bcf, 0.5 uM",,,,
37,Perfluoro-2-methyl-3-oxahexanoic acid,"bcf, 0.5 uM",,,,
38,Perfluoropentanamide,"bcf, 0.5 uM",1.8,0.31,,
39,"Methyl 2H,2H,3H,3H-perfluoroheptanoate","bcf, 0.5 uM",,,,
40,4:4 Fluorotelomer alcohol,"bcf, 0.5 uM",,,,
41,4:2 Fluorotelomer alcohol,"bcf, 0.5 uM",,,,
42,Perfluorobutyraldehyde,"bcf, 0.5 uM",,,,
43,Pentafluoropropanoic anhydride,"bcf, 0.5 uM",,,,
44,Perfluoroisobutyl methyl ether,"bcf, 0.5 uM",,,,
45,"Bis(1H,1H-perfluoropropyl)amine","bcf, 0.5 uM",,,,
46,Perfluorooctanesulfonic acid,"bcf, 0.5 uM",271,69,,
